year,mandate_description_en,mandate_description_fr,operational_activities_kdollars,key_stakeholders_kdollars,training_kdollars,other_kdollars,internal_governance_kdollars,non_public_servants_kdollars,public_servants_kdollars,hospitality_kdollars,conference_fees_kdollars,minister_kdollars,travel_compared_fiscal_year_en,travel_compared_fiscal_year_fr,hospitality_compared_fiscal_year_en,hospitality_compared_fiscal_year_fr,conference_fees_compared_fiscal_year_en,conference_fees_compared_fiscal_year_fr,minister_compared_fiscal_year_en,minister_compared_fiscal_year_fr,owner_org,owner_org_title
2022,"The mandate of the OPC is overseeing compliance with both the Privacy Act, which covers the personal information-handling practices of federal government institutions, and the Personal Information Protection and Electronic Documents Act (PIPEDA), Canada’s federal private sector privacy law, along with some aspects of Canada’s anti-spam law (CASL).","En vertu de son mandat, le Commissariat a la responsabilité de veiller au respect de la Loi sur la protection des renseignements personnels (LPRP), laquelle porte sur les pratiques de traitement des renseignements personnels utilisés par les ministères et organismes fédéraux, et de la Loi sur la protection des renseignements personnels et les documents électroniques (LPRPDE), la loi fédérale sur la protection des renseignements personnels dans le secteur privé, de même qu’au respect de certaines dispositions de la Loi canadienne anti-pourriel (LCAP).",15.8,3,0.5,2.1,0,,,1.2,2.8,0,"As with other government departments and agencies, the pandemic continues to have an impact on how the OPC is operating and delivering on its mandate. The OPC remained operational and continued serving Canadians and supporting its internal programs throughout the pandemic while respecting public health guidelines. In this regard, we were able to rise to the challenge and remain fully operational by working remotely and attending training, conference and meetings with stakeholders virtually.

While remote work continues to be effective for the OPC, some stakeholder interactions and investigations do benefit from an in-person component. As public health restrictions have continued to ease in 2021-2022, the OPC has resumed some in-person activities where appropriate. This resulted in increased travel expenses in 2021-22 compared to 2020-21, slightly increasing the OPC’s expenditures for travel, hospitality and conferences. As the OPC transitions to a hybrid workplace, it will continue to work towards actively leveraging technology to perform its investigations and manage its expenditures for travel, hospitality and conferences.","Comme c’est le cas pour d’autres ministères et organismes gouvernementaux, la pandémie continue à avoir une incidence sur la façon dont le Commissariat exerce ses activités et s’acquitte de son mandat. Le Commissariat a poursuivi ses activités, a continué à servir les Canadiens et à appuyer ses programmes internes tout au long de la pandémie, et ce, tout en respectant les directives de santé publique. Sur ce plan, nous avons été en mesure de relever le défi et nous sommes demeurés pleinement opérationnels en exerçant notre travail à distance et en participant virtuellement à des formations, à des conférences et à des rencontres avec des intervenants.
Même si le travail à distance continue d’être efficace pour le Commissariat, certaines interactions avec les intervenants et certaines enquêtes bénéficient des rencontres en personne. Au fur et à mesure que les restrictions en matière de santé publique se sont assouplies en 2021 2022, le Commissariat a repris certaines activités en personne, au besoin. Cette situation a entraîné une augmentation des frais de voyage en 2021 2022 par rapport à 2020 2021, ce qui a légèrement augmenté les dépenses du Commissariat pour les voyages, l’accueil et les conférences. Alors que le Commissariat fait la transition vers un modèle de travail hybride, il continuera à s’efforcer de tirer activement parti de la technologie pour mener ses enquêtes et gérer ses dépenses de voyages, d’accueil et de conférences.",,,,,,,opc-cpvp,Office of the Privacy Commissioner of Canada | Commissariats à l’information et à la protection de la vie privée au Canada
2023,"The mandate of the OPC is overseeing compliance with both the Privacy Act, which covers the personal information-handling practices of federal government institutions, and the Personal Information Protection and Electronic Documents Act (PIPEDA), Canada’s federal private sector privacy law, along with some aspects of Canada’s anti-spam law (CASL).","En vertu de son mandat, le Commissariat a la responsabilité de veiller au respect de la Loi sur la protection des renseignements personnels (LPRP), laquelle porte sur les pratiques de traitement des renseignements personnels utilisés par les ministères et organismes fédéraux, et de la Loi sur la protection des renseignements personnels et les documents électroniques (LPRPDE), la loi fédérale sur la protection des renseignements personnels dans le secteur privé, de même qu’au respect de certaines dispositions de la Loi canadienne anti-pourriel (LCAP).",92.9,147.6,32.1,9.7,0,,,11.9,20.3,0,"As public health restrictions have continued to ease in 2022-23, the OPC has resumed some in-person activities where appropriate. This resulted in increased travel expenses in 2022-23 compared to 2021-22 due to training activities, speaking engagements, consultation with stakeholders, developing and sustaining partnerships with data-protection authorities around the world, as well as international associations and regulators. As the OPC transitions to a hybrid workplace, it will continue to work towards actively leveraging technology to perform its investigations and manage its expenditures for travel.","Comme les restrictions en matière de santé publique ont continué de s'assouplir en 2022-2023, le CPVP a repris certaines activités en personne, le cas échéant. Cela a entraîné une augmentation des frais de voyage en 2022-2023 par rapport à 2021-2022 en raison des activités de formation, des allocutions, des consultations avec les intervenants et pour développer et maintenir des partenariats avec les autorités de protection des données du monde entier, de même qu’avec les associations internationales et les organismes de réglementation. Le CPVP continuera de s'efforcer de tirer activement parti de la technologie pour mener à bien ses enquêtes et gérer ses dépenses liées aux voyages.","In 2022-23, hospitality expenses increased from $1.2K to $11.9K.  The limited expenses incurred for hospitality were for in-person training and strategic planning sessions.","En 2022-2023, les dépenses d'accueil sont passées de 1,2 millier de dollars à 11,9 milliers de dollars. Les dépenses limitées encourues pour l'accueil sont à l’appui de formation en personne et de sessions de planification stratégique.","In 2022-23, conference fees expenses increased from $2.8K to $20.3K.  The increase in expenditures are in support of events that were directly related to the OPC’s mandate.","En 2022-2023, les dépenses de conférence sont passées de 2,8 milliers de dollars à 20,3 milliers de dollars.  L’augmentation des dépenses est à l'appui d'événements directement liés au mandat du CPVP.",,,opc-cpvp,Office of the Privacy Commissioner of Canada | Commissariats à l’information et à la protection de la vie privée au Canada
2020,"OSFI's travel, hospitality and conference expenditures support the delivery of the following core programs and services to Canadians:
The advancement of a regulatory framework designed to control and manage risk;
The supervision of federally regulated financial institutions and pension plans to determine whether they are in sound financial condition and meeting regulatory and supervisory requirements. This includes promptly advising financial institutions and pension plans if there are material deficiencies, and taking corrective measures or requiring that they be taken to expeditiously address the situation;
The monitoring and evaluation of system-wide or sectorial developments that may have a negative impact on the financial condition of federally regulated financially institutions.","Les dépenses de voyages, d’accueil et de conférences du BSIF soutiennent l’exécution des programmes et la prestation des services fondamentaux suivants pour les Canadiens :
Bonifier un cadre réglementaire conçu pour contrôler et gérer le risque.
Surveiller les institutions financières et les régimes de retraite fédéraux pour s’assurer qu’ils sont en bonne santé financière et qu’ils se conforment à la réglementation qui les régit et aux exigences du régime de surveillance. Aviser sans tarder les institutions financières et les régimes de retraite des lacunes importantes qu’ils présentent et prendre des mesures, ou exiger des responsables qu’ils en prennent, dans le but de rectifier la situation promptement.
Surveiller et évaluer les enjeux systémiques et les particularités sectorielles susceptibles de nuire à la situation financière des institutions financières fédérales.",1942,549,723,109,262,,,229,0,0,"Compared to fiscal year 2018–19, departmental travel expenditures increased by $275K mainly due to international and stakeholder engagements on topics such as climate risk and other non-financial risk items.  In addition, travel increased because of growth in OSFI’s staff complement, and the implementation and training associated with a new information technology system for performing core supervisory activities.  The increase in expenditures was partly offset by travel cancellations and deferrals in February and March due to Covid-19 travel restrictions.","Comparativement à l’exercice 2018–2019, les frais de déplacement des fonctionnaires de l’organisme ont augmenté de 275 000 $, principalement en raison de la participation à des événements sectoriels et internationaux s’articulant autour de sujets comme le risque climatique et d’autres éléments de risque non financiers. Ces dépenses couvrent également la croissance de l’effectif, ainsi que la mise en place d’un nouveau système de technologie de l’information servant à l’exécution des principales activités de surveillance, et la formation qui s’y rattache. L’augmentation des dépenses a cependant été compensée par les annulations et les reports de voyage en février et mars, lorsque des restrictions liées à la pandémie de Covid-19 ont été mises en place.","The increase in hospitality, compared to fiscal year 2018–19, relates mainly to the roll –out of OSFI’s new Strategic Plan and internal training initiatives for which hospitality was provided.","Comparativement à l’exercice 2018-2019, les dépenses d’accueil ont augmenté sous l’effet du déploiement du nouveau Plan stratégique du BSIF, ainsi que des activités de formation à l’interne pour lesquelles le BSIF a couvert les frais d’accueil.",OSFI has minimal conferences fees in any given year. The costs for 2018-19 reflects participation at the Financial Sector Forum.,"Les frais de participation aux conférences acquittés par le BSIF sont généralement minimes, quel que soit l’exercice. Cependant, ils ont augmenté pour l’exercice 2018-2019 en raison de la participation au Forum sur le secteur financier.",Not applicable to OSFI as the Minister of Finance's travel expenditures are recorded and reported through the Department of Finance.,"La présente catégorie ne s’applique pas au BSIF, car les frais de déplacement du ministre des Finances sont inscrits aux comptes du ministère des Finances.",osfi-bsif,Office of the Superintendent of Financial Institutions Canada | Bureau du surintendant des institutions financières Canada
2019,"OSFI's travel, hospitality and conference expenditures support the delivery of the following core programs and services to Canadians:
The advancement of a regulatory framework designed to control and manage risk;
The supervision of federally regulated financial institutions and pension plans to determine whether they are in sound financial condition and meeting regulatory and supervisory requirements. This includes promptly advising financial institutions and pension plans if there are material deficiencies, and taking corrective measures or requiring that they be taken to expeditiously address the situation;
The monitoring and evaluation of system-wide or sectorial developments that may have a negative impact on the financial condition of federally regulated financially institutions.","Les dépenses de voyages, d'accueil et de conférences du BSIF soutiennent l'exécution des programmes et la prestation des services fondamentaux suivants pour les Canadiens :
Bonifier un cadre réglementaire conçu pour contrôler et gérer le risque.
Surveiller les institutions financières et les régimes de retraite fédéraux pour s'assurer qu'ils sont en bonne santé financière et qu'ils se conforment à la réglementation qui les régit et aux exigences du régime de surveillance. Aviser sans tarder les institutions financières et les régimes de retraite des lacunes importantes qu'ils présentent, et prendre ou exiger des responsables qu'ils prennent des mesures dans le but de rectifier la situation promptement.
Surveiller et évaluer les enjeux systémiques et les particularités sectorielles susceptibles de nuire à la situation financière des institutions financières fédérales.

Dépenses de voyages, d'accueil et de conférences ",1981,439,687,44,159,,,198,4,0,"Compared with fiscal year 2017–18, departmental travel expenditures increased slightly mainly due to growth in OSFI's staff complement, and training and development for new employees.","Comparativement à l'exercice 2017–2018, les dépenses de voyages des fonctionnaires de l'organisme ont augmenté légèrement sous l'effet surtout de la croissance de l'effectif et des programmes de formation et de perfectionnement offerts aux nouveaux employés.","Departmental hospitality expenditures will fluctuate from year to year due to the periodicity of certain national and international activity and regulator events. OSFI's costs will be higher in a year when it is hosting an annual event as opposed to a year when another participant is hosting the same event. During fiscal year 2018-19, OSFI hosted the Canada Pension Plan (CPP) Seminar on Demographic and Economic and Investment Perspectives for Canada. While less significant, another factor is the implementation of the human capital strategy.","Les dépenses d'accueil du BSIF varieront d'année en année en raison de la périodicité de certains événements nationaux et internationaux et des activités des instances de réglementation. Par exemple, les coûts à ce chapitre sont plus élevés lorsque le BSIF organise une activité annuelle dont d'autres participants étaient chargés les années précédentes. Pendant l'exercice 2018–2019, le BSIF a organisé le Colloque du régime de pensions du Canada (RPC) sur les perspectives démographiques, économiques et d'investissement du Canada. La mise en œuvre de la Stratégie du capital humain a également haussé les dépenses d'accueil, quoique dans une moindre mesure.","Compared with fiscal year 2017–18, departmental conference fee expenditures increased due to participation in the Financial Sector Forum. For 2017-18, OSFI's conference fee expenditures were NIL. The negative balance represents an erroneous account coding classification discovered after the 2017-18 year-end.","Comparativement à l'exercice 2017–2018, les frais engagés par le BSIF pour participer à des conférences ont augmenté en raison du Forum sur le secteur financier. En 2017–2018, les frais de participation aux conférences acquittés par le BSIF étaient NULS. Le solde négatif est attribuable à une erreur de classification dans le codage des comptes et a été constatée après la fin de l'exercice 2017-2018.",Not applicable to OSFI as the Minister of Finance's travel expenditures are recorded and reported through the Department of Finance.,"La présente catégorie ne s'applique pas au BSIF, car les dépenses de voyages du ministre des Finances sont inscrites aux comptes du ministère des Finances.",osfi-bsif,Office of the Superintendent of Financial Institutions Canada | Bureau du surintendant des institutions financières Canada
2018,"OSFI's travel, hospitality and conference expenditures support the delivery of the following core programs and services to Canadians:
The advancement of a regulatory framework designed to control and manage risk;
The supervision of federally regulated financial institutions and pension plans to determine whether they are in sound financial condition and meeting regulatory and supervisory requirements. This includes promptly advising financial institutions and pension plans if there are material deficiencies, and taking corrective measures or requiring that they be taken to expeditiously address the situation;
The monitoring and evaluation of system–wide or sectorial developments that may have a negative impact on the financial condition of federally regulated financially institutions.","Les dépenses de voyages, d'accueil et de conférences du BSIF soutiennent l'exécution des programmes et la prestation des services fondamentaux suivants pour les Canadiens :
Bonifier un cadre réglementaire conçu pour contrôler et gérer le risque.
Surveiller les institutions financières et les régimes de retraite fédéraux pour s'assurer qu'ils sont en bonne santé financière et qu'ils se conforment à la réglementation qui les régit et aux exigences du régime de surveillance. Aviser sans tarder les institutions financières et les régimes de retraite des lacunes importantes qu'ils présentent, et prendre ou exiger des responsables qu'ils prennent des mesures dans le but de rectifier la situation promptement.
Surveiller et évaluer les enjeux systémiques et les particularités sectorielles susceptibles de nuire à la situation financière des institutions financières fédérales.",2309,112,427,29,121,,,186,-2,0,"Compared with fiscal year 2016–17, departmental travel expenditures were relatively stable, increasing 1.5%, mainly due to cost inflation.","Comparativement à l'exercice 2016‑2017, les dépenses de voyage des fonctionnaires de l'organisme ont été relativement stables, en hausse de 1,5 % sous l'effet surtout de l'inflation.","Departmental hospitality expenditures will fluctuate from year to year due to the periodicity of certain national and international industry and regulator events.  OSFI's costs will be higher in a year when it is hosting an annual event as opposed to a year when another participant is hosting the same event.  During fiscal year 2017-18, OSFI hosted events related to the International Association of Insurance Supervisors and the Financial Stability Board, which contributed to the increased hospitality expenditures compared with fiscal year 2016–17.","Les dépenses d'accueil du BSIF varieront d'année en année en raison de la périodicité de certains événements nationaux et internationaux à l'intention de représentants du secteur financier ou d'instances de réglementation. Par exemple, les coûts à ce chapitre sont plus élevés lorsque le BSIF organise des activités annuelles dont d'autres participants se chargent les années précédentes. Pendant l'exercice 2017‑2018, le BSIF a organisé des événements liés à l'Association internationale des contrôleurs d'assurance et le Conseil de stabilité financière, ce qui a contribué à faire augmenter les dépenses d'accueil par rapport à celles de l'exercice 2016‑2017.","For fiscal year 2017-18, OSFI's conference fee expenditures were NIL.  The negative balance represents an erroneous account coding classification discovered after year-end.","Pour l'exercice 2017‑2018, les frais de participation aux conférences du BSIF ont été NULS. Le solde négatif est attribuable à une erreur de classification de codage des comptes constatée après la fin de l'exercice.",Not applicable to OSFI as the Minister of Finance's travel expenditures are recorded and reported through the Department of Finance.,La présente catégorie ne s'applique pas au BSIF car les dépenses de voyages du ministre des Finances sont inscrites aux comptes du ministère des Finances.,osfi-bsif,Office of the Superintendent of Financial Institutions Canada | Bureau du surintendant des institutions financières Canada
2021,"OSFI's travel, hospitality and conference expenditures support the delivery of the following core programs and services to Canadians:
The advancement of a regulatory framework designed to control and manage risk;
The supervision of federally regulated financial institutions and pension plans to determine whether they are in sound financial condition and meeting regulatory and supervisory requirements. This includes promptly advising financial institutions and pension plans if there are material deficiencies, and taking corrective measures or requiring that they be taken to expeditiously address the situation;
The monitoring and evaluation of system-wide or sectorial developments that may have a negative impact on the financial condition of federally regulated financially institutions.","Les dépenses de voyages, d’accueil et de conférences du BSIF soutiennent l’exécution des programmes et la prestation des services fondamentaux suivants pour les Canadiens :
Bonifier un cadre réglementaire conçu pour contrôler et gérer le risque.
Surveiller les institutions financières et les régimes de retraite fédéraux pour s’assurer qu’ils sont en bonne santé financière et qu’ils se conforment à la réglementation qui les régit et aux exigences du régime de surveillance. Aviser sans tarder les institutions financières et les régimes de retraite des lacunes importantes qu’ils présentent et prendre des mesures, ou exiger des responsables qu’ils en prennent, dans le but de rectifier la situation promptement.
Surveiller et évaluer les enjeux systémiques et les particularités sectorielles susceptibles de nuire à la situation financière des institutions financières fédérales.",-69,0,0,43,0,,,5,0,0,"Compared to the prior fiscal year, OSFI’s 2020-2021 travel expenditures decreased due to the impact of the COVID-19 pandemic. Travel expenditures for Operational Activities are negative due to refunds received for travel cancellations.  OSFI has the statutory authority to use refunds from  both current (and previous) fiscal years.","En comparaison avec l’exercice précédent, les dépenses de voyage du BSIF en 2020-2021 ont diminué en raison de l’impact de la pandémie de COVID-19.  Les dépenses de voyage pour les activités opérationnelles représentent un chiffre négatif en raison des remboursements reçus pour des annulations de voyages. Le BSIF a l'autorité statutaire d'utiliser les remboursements de l'exercice en cours (et des exercices précédents).","Compared to the prior fiscal year, OSFI’s 2020-2021 hospitality expenditures decreased due to the impact of the COVID-19 pandemic.","En comparaison avec l’exercice précédent, les dépenses d’accueil du BSIF ont diminué en raison de l’impact de la pandémie de COVID-19.",,,,,osfi-bsif,Office of the Superintendent of Financial Institutions Canada | Bureau du surintendant des institutions financières Canada
2022,"OSFI's travel, hospitality and conference expenditures support the delivery of the following core programs and services to Canadians:
• The advancement of a regulatory framework designed to control and manage risk;
• The supervision of federally regulated financial institutions and pension plans to determine whether they are in sound financial condition and meeting regulatory and supervisory requirements. This includes promptly advising financial institutions and pension plans if there are material deficiencies, and taking corrective measures or requiring that they be taken to expeditiously address the situation;
• The monitoring and evaluation of system-wide or sectorial developments that may have a negative impact on the financial condition of federally regulated financially institutions.","Les dépenses de voyages, d’accueil et de conférences du BSIF soutiennent l’exécution des programmes et la prestation des services fondamentaux suivants pour les Canadiens :
• Bonifier un cadre réglementaire conçu pour contrôler et gérer le risque.
• Surveiller les institutions financières et les régimes de retraite fédéraux pour s’assurer qu’ils sont en bonne santé financière et qu’ils se conforment à la réglementation qui les régit et aux exigences du régime de surveillance. Aviser sans tarder les institutions financières et les régimes de retraite des lacunes importantes qu’ils présentent et prendre des mesures, ou exiger des responsables qu’ils en prennent, dans le but de rectifier la situation promptement.
• Surveiller et évaluer les enjeux systémiques et les particularités sectorielles susceptibles de nuire à la situation financière des institutions financières fédérales.",69,-4,-15,3,9,,,7,0,0,"Compared to fiscal year 2020-21, total departmental travel expenditures increased slightly due to the easing of Covid-19 travel restrictions; however, still remained low as OSFI continues to take a gradual approach in resuming normal travel activities.","Par rapport à l'exercice 2020-21, les dépenses totales de voyage du ministère ont légèrement augmenté en raison de l'assouplissement des restrictions de voyage de la Covid-19 ; toutefois, elles sont encore faibles, car le BSIF continue d'adopter une approche graduelle dans la reprise des activités de voyage normales.","Compared to fiscal year 2020-21, hospitality slightly increased but still remained low due to the impact of Covid-19.","Par rapport à l'exercice 2020-21, les dépenses d'accueil ont légèrement augmenté mais sont restées faibles en raison de l'impact de Covid-19.",,,,,osfi-bsif,Office of the Superintendent of Financial Institutions Canada | Bureau du surintendant des institutions financières Canada
2023,"OSFI's travel, hospitality and conference expenditures support the delivery of the following core programs and services to Canadians:
• The advancement of a regulatory framework designed to control and manage risk;
• The supervision of federally regulated financial institutions and pension plans to determine whether they are in sound financial condition and meeting regulatory and supervisory requirements. This includes promptly advising financial institutions and pension plans if there are material deficiencies, and taking corrective measures or requiring that they be taken to expeditiously address the situation;
• The monitoring and evaluation of system-wide or sectorial developments that may have a negative impact on the financial condition of federally regulated financially institutions.","Les dépenses de voyages, d’accueil et de conférences du BSIF soutiennent l’exécution des programmes et la prestation des services fondamentaux suivants pour les Canadiens :
• Bonifier un cadre réglementaire conçu pour contrôler et gérer le risque.
• Surveiller les institutions financières et les régimes de retraite fédéraux pour s’assurer qu’ils sont en bonne santé financière et qu’ils se conforment à la réglementation qui les régit et aux exigences du régime de surveillance. Aviser sans tarder les institutions financières et les régimes de retraite des lacunes importantes qu’ils présentent et prendre des mesures, ou exiger des responsables qu’ils en prennent, dans le but de rectifier la situation promptement.
• Surveiller et évaluer les enjeux systémiques et les particularités sectorielles susceptibles de nuire à la situation financière des institutions financières fédérales.",989,302,154,111,70,,,39,0,0,"Compared to fiscal year 2021-2022, the increase in travel expenditures is due to a return to ""in-person"" activities with  COVID-19 restrictions being lifted.","Comparativement à l’exercice 2021-2022, l'augmentation des dépenses de voyage est attribuée à un retour à des activités ""en personne"" avec la levée des restrictions COVID-19.","Compared to fiscal year 2021-2022, the increase in hospitality expenditures is due  to a return to ""in-person"" activities with  COVID-19 restrictions being lifted.","Comparativement à l’exercice 2021-2022, l'augmentation des dépenses d'accueil est attribuée à un retour à des activités ""en personne"" avec la levée des restrictions COVID-19.",,,,,osfi-bsif,Office of the Superintendent of Financial Institutions Canada | Bureau du surintendant des institutions financières Canada
2015,,,.,.,.,.,.,0,2.2,0.2,0,0,"Public Servants: 2.2 ;
Non-Public Servants: 0","Voyages des fonctionnaires: 2.2 ;
Voyages des non-fonctionnaires: 0",,,,,,,oto-boc,Office of the Taxpayers' Ombudsperson | Bureau de l'ombudsman des contribuables
2016,"The mandate of the OTO is to assist, advise, and inform the Minister of National Revenue about any matter relating to services provided to a taxpayer by the Canada Revenue Agency in order to support the government’s priorities of maintaining stronger democratic institutions, increased transparency and, the fair treatment of taxpayers.","Le mandat du BOC consiste à aider, conseiller et renseigner la ministre du Revenu national sur toute question relative aux services aux contribuables par l’Agence du revenu du Canada et cela en fonction d’appuyer les priorités du gouvernement qui sont de renforcer les institutions démocratiques, accroître la transparence et assurer un traitement équitable pour tous les contribuables.",.,.,.,.,.,0,14.5,0,0,0,"Public Servants: 14.5 ;
Non-Public Servants: 0","Voyages des fonctionnaires: 14.5 ;
Voyages des non-fonctionnaires: 0",,,,,,,oto-boc,Office of the Taxpayers' Ombudsperson | Bureau de l'ombudsman des contribuables
2017,"The mandate of the OTO is to assist, advise, and inform the Minister of National Revenue about any matter relating to services provided to a taxpayer by the Canada Revenue Agency in order to support the government’s priorities of maintaining stronger democratic institutions, increased transparency and, the fair treatment of taxpayers.","Le mandat du BOC consiste à aider, conseiller et renseigner la ministre du Revenu national sur toute question relative aux services aux contribuables par l’Agence du revenu du Canada et cela en fonction d’appuyer les priorités du gouvernement qui sont de renforcer les institutions démocratiques, accroître la transparence et assurer un traitement équitable pour tous les contribuables.",.,.,.,.,.,0,20,0,0,0,"Public Servants: 20 ;
Non-Public Servants: 0","Voyages des fonctionnaires: 20 ;
Voyages des non-fonctionnaires: 0",,,,,,,oto-boc,Office of the Taxpayers' Ombudsperson | Bureau de l'ombudsman des contribuables
2019,"The mandate of the OTO is to assist, advise, and inform the Minister of National Revenue about any matter relating to services provided to a taxpayer by the Canada Revenue Agency in order to support the government’s priorities of maintaining stronger democratic institutions, increased transparency and, the fair treatment of taxpayers. ","Le mandat du BOC consiste à aider, conseiller et renseigner la ministre du Revenu national sur toute question relative aux services aux contribuables par l’Agence du revenu du Canada et cela en fonction d’appuyer les priorités du gouvernement qui sont de renforcer les institutions démocratiques, accroître la transparence et assurer un traitement équitable pour tous les contribuables. ",36,5,6,1,1,,,0,18,0,"Increase in outreach activities to continue raising awareness of taxpayer rights, the role of the Taxpayers’ Ombudsman, and the work of OTO to assist complainants through independent and objective reviews of service-related complaints and systemic issues.","Accroissement des activités de visibilités afin de continuer à conscientiser l’opinion publique aux droits des contribuables, au rôle de l’ombudsman des contribuables et au travail du BOC d’aider les plaignants dans le cadre d’un examen indépendant et objectif des plaintes liées au service et des problèmes systémiques.",Not applicable,Sans objet,"Increase in outreach activities to continue raising awareness of taxpayer rights, the role of the Taxpayers’ Ombudsman, and the work of OTO to assist complainants through independent and objective reviews of service-related complaints and systemic issues.","Augmentation des activités de sensibilisation afin de continuer à sensibiliser l’opinion publique aux droits des contribuables, au rôle de l’ombudsman des contribuables et au travail du BOC d’aider les plaignants dans le cadre d’un examen indépendant et objectif des plaintes liées au service et des problèmes systémiques.",Not applicable,Sans objet,oto-boc,Office of the Taxpayers' Ombudsperson | Bureau de l'ombudsman des contribuables
2018,"The mandate of the OTO is to assist, advise, and inform the Minister of National Revenue about any matter relating to services provided to a taxpayer by the Canada Revenue Agency in order to support the government’s priorities of maintaining stronger democratic institutions, increased transparency and, the fair treatment of taxpayers. ","Le mandat du BOC consiste à aider, conseiller et renseigner la ministre du Revenu national sur toute question relative aux services aux contribuables par l’Agence du revenu du Canada et cela en fonction d’appuyer les priorités du gouvernement qui sont de renforcer les institutions démocratiques, accroître la transparence et assurer un traitement équitable pour tous les contribuables. ",28,0,4,0,2,,,0,1,0,Not applicable,Sans objet,Not applicable,Sans objet,Not applicable,Sans objet,Not applicable,Sans objet,oto-boc,Office of the Taxpayers' Ombudsperson | Bureau de l'ombudsman des contribuables
2020,"The mandate of the OTO is to assist, advise, and inform the Minister of National Revenue about any matter relating to services provided to a taxpayer by the Canada Revenue Agency in order to support the government’s priorities of maintaining stronger democratic institutions, increased transparency and, the fair treatment of taxpayers. ","Le mandat du BOC consiste à aider, conseiller et renseigner la ministre du Revenu national sur toute question relative aux services aux contribuables par l’Agence du revenu du Canada et cela en fonction d’appuyer les priorités du gouvernement qui sont de renforcer les institutions démocratiques, accroître la transparence et assurer un traitement équitable pour tous les contribuables. ",43,3,7,0,1,,,0,13,0,"In 2019-2020, the OTO’s travel expenditures increased by $5,000, mainly the result of increased outreach activities to continue raising awareness of taxpayer rights, the role of the Taxpayers’ Ombudsperson, and the work of OTO to assist complainants through independent and objective reviews of service-related complaints and systemic issues.","En 2019-2020, les dépenses de voyage du BOC ont augmenté de 5 000 dollars, principalement en raison de l’accroissement des activités de visibilité afin de continuer à conscientiser l’opinion publique aux droits des contribuables, au rôle de l’ombudsman des contribuables et au travail du BOC d’aider les plaignants dans le cadre d’un examen indépendant et objectif des plaintes liées au service et des problèmes systémiques.",Not applicable,Sans objet,"The decrease of $5,000 in conference fees is mainly attributable to the cancellation of various planned events.",La diminution de 5 000 dollars de frais de conférence est principalement attribuable à l'annulation de divers événements prévus.,Not applicable,Sans objet,oto-boc,Office of the Taxpayers' Ombudsperson | Bureau de l'ombudsman des contribuables
2021,"The mandate of the OTO is to assist, advise, and inform the Minister of National Revenue about any matter relating to services provided to a taxpayer by the Canada Revenue Agency in order to support the government’s priorities of maintaining stronger democratic institutions, increased transparency and, the fair treatment of taxpayers. ","Le mandat du BOC consiste à aider, conseiller et renseigner la ministre du Revenu national sur toute question relative aux services aux contribuables par l’Agence du revenu du Canada et cela en fonction d’appuyer les priorités du gouvernement qui sont de renforcer les institutions démocratiques, accroître la transparence et assurer un traitement équitable pour tous les contribuables. ",1,0,0,0,0,,,0,2,0,"In 2020-2021, the OTO’s travel expenditures decreased by 98% mainly due to COVID-19 travel restrictions and lockdowns.","En 2020-2021, les dépenses de voyages du BOC ont diminuées de 98%, principalement en raison des restrictions de voyages et des confinements liés à la COVID-19.",Not applicable,Sans objet,The variance in conference fees is mainly attributable to the decrease in participation to various in-person conferences due to COVID-19 restrictions and lockdowns.,L’écart dans les frais de conférences est principalement attribuable à la réduction dans la participation à diverses conférences en personne en raison des restrictions et des confinements liés à la COVID-19.,Not applicable,Sans objet,oto-boc,Office of the Taxpayers' Ombudsperson | Bureau de l'ombudsman des contribuables
2022,"The mandate of the OTO is to assist, advise, and inform the Minister of National Revenue about any matter relating to services provided to a taxpayer by the Canada Revenue Agency in order to support the government’s priorities of maintaining stronger democratic institutions, increased transparency and, the fair treatment of taxpayers. ","Le mandat du BOC consiste à aider, conseiller et renseigner la ministre du Revenu national sur toute question relative aux services aux contribuables par l’Agence du revenu du Canada et cela en fonction d’appuyer les priorités du gouvernement qui sont de renforcer les institutions démocratiques, accroître la transparence et assurer un traitement équitable pour tous les contribuables. ",1,0,0,0,0,,,0,3,0,"In 2021-2022, the OTO’s travel expenditures is maintained low mainly due to COVID-19 travel restrictions and lockdowns.","En 2021-2022, les dépenses de voyages du BOC ont constant, principalement en raison des restrictions de voyages et des confinements liés à la COVID-19.",Not applicable,Sans objet,The variance in conference fees is maintained low mainly due to participation to conferences in  virtual mode due to COVID-19 restrictions and lockdowns.,"L’écart dans les frais de conférences sont constant, principalement en raison de la participation à diverses conférences en virtuel en raison des restrictions et des confinements liés à la COVID-19.",Not applicable,Sans objet,oto-boc,Office of the Taxpayers' Ombudsperson | Bureau de l'ombudsman des contribuables
